Absolute Time	Seconds	R_CenterX	R_CenterY	R_Area	R_RadiusRotated1	R_RadiusRotated2	R_AreaDiff	R_RadiusX	R_RadiusY	R_RadiusSum	R_RadiusDiff	PyroTemp	Htr_Uctrl	Htr_U	Htr_I	Htr_FREQ	Pos_Uctrl	Pos_U	Pos_I	Pos_FREQ	Lin.Drive	Cycle	Emmis.	HCE_Cycle
hh:mm:ss.xxxx		[Pixel]	[Pixel]						[Pixel]	[Pixel]	[Pixel]	degC	V	V	A	Hz	V	V	A	Hz	mm			
22:38:49.3255	81529.326	314.91489	267.08124	136323.40625	203.63080	215.33904	6527.59521	210.95564	201.89644	412.85208	9.05920	1580.80005	0.00031	20.44464	1.25544	372099.12500	5.20989	76.21380	8.86054	147937.96875	152.12892	1.00000	0.25000	1.00000
22:38:49.3280	81529.328	315.28793	267.41492	136561.01563	204.19058	215.47305	6359.07471	210.57965	202.28679	412.86646	8.29286	1580.80005	0.00031	20.44464	1.25544	372099.12500	5.20989	76.21380	8.86054	147937.96875	152.12892	1.00000	0.25000	1.00000
22:38:49.3305	81529.331	314.73376	267.62628	136096.03125	203.78590	214.59787	5945.84521	209.74248	202.96519	412.70767	6.77728	1580.80005	0.00031	20.44464	1.25544	372099.12500	5.20989	76.21380	8.86054	147937.96875	152.12892	1.00000	0.25000	1.00000
22:38:49.3330	81529.333	315.16895	267.51831	136255.09375	203.80124	214.66237	5888.07227	209.57109	203.48395	413.05505	6.08714	1580.80005	0.00031	20.44464	1.25544	372099.12500	5.20989	76.21380	8.86054	147937.96875	152.12892	1.00000	0.25000	1.00000
22:38:49.3355	81529.336	314.58789	268.10812	135703.39063	203.53297	213.86662	5894.52783	209.43346	203.05324	412.48669	6.38022	1580.80005	0.00031	20.44464	1.25544	372099.12500	5.20989	76.21380	8.86054	147937.96875	152.12892	1.00000	0.25000	1.00000
22:38:49.3380	81529.338	315.33383	267.94040	136082.37500	203.90984	214.53117	5932.73877	209.69431	202.85797	412.55228	6.83633	1580.80005	0.00031	20.44464	1.25544	372099.12500	5.20989	76.21380	8.86054	147937.96875	152.12892	1.00000	0.25000	1.00000
22:38:49.3405	81529.341	315.82776	268.24951	136204.87500	204.41887	214.83299	6291.88135	210.29636	201.86032	412.15668	8.43604	1580.80005	0.00031	20.44464	1.25544	372099.12500	5.20989	76.21380	8.86054	147937.96875	152.12892	1.00000	0.25000	1.00000
22:38:49.3430	81529.343	315.59790	268.90909	135805.82813	203.79005	214.35712	6819.54980	211.07323	200.78807	411.86130	10.28516	1579.90002	0.00031	20.44464	1.25544	372099.12500	5.20989	76.21380	8.86054	147937.96875	152.12892	1.00000	0.25000	1.00000
22:38:49.3455	81529.346	315.39621	268.54196	135761.51563	203.32999	214.62340	6647.32520	210.97632	200.97536	411.95166	10.00096	1579.90002	0.00031	20.44464	1.25544	372099.12500	5.20989	76.21380	8.86054	147937.96875	152.12892	1.00000	0.25000	1.00000
