Absolute Time	Seconds	A_CenterX	A_CenterY	A_Area	A_RadiusRotated1	A_RadiusRotated2	A_AreaDiff	A_RadiusX	A_RadiusY	A_RadiusSum	A_RadiusDiff	PyroTemp	Htr_Uctrl	Htr_U	Htr_I	Htr_FREQ	Pos_Uctrl	Pos_U	Pos_I	Pos_FREQ	Lin.Drive	Cycle	Step	PS_UHV	PS_1	PS_2	Exp#	Pos_On	Htr_On	H_HF_On	Rot Pos	AxMirror	RadMirror	GasValCFG	PumpSpeed	Emmis.	HCE_Cycle
hh:mm:ss.xxxx		[Pixel]	[Pixel]						[Pixel]	[Pixel]	[Pixel]	degC	V	V	A	Hz	V	V	A	Hz	mm				mbar	mbar											
23:15:50.6449	83750.645	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	356.20001	4.35035	108.64806	8.87298	371581.21875	9.76898	132.98468	15.06910	147804.26563	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.6516	83750.652	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	356.20001	4.35035	108.64806	8.87298	371581.21875	9.76898	132.98468	15.06910	147804.26563	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.6583	83750.658	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	357.29999	4.35035	108.64806	8.87298	371581.21875	9.76898	132.98468	15.06910	147804.26563	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.6649	83750.665	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	358.39999	5.28572	125.87742	10.28319	371572.93750	9.76913	132.98703	15.08543	147801.96875	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.6716	83750.672	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	358.39999	5.28572	125.87742	10.28319	371572.93750	9.76913	132.98703	15.08543	147801.96875	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.6783	83750.678	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	359.39999	5.28572	125.87742	10.28319	371572.93750	9.76913	132.98703	15.08543	147801.96875	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.6849	83750.685	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	360.79999	5.28572	125.87742	10.28319	371572.93750	9.76913	132.98703	15.08543	147801.96875	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.6916	83750.692	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	360.79999	5.28572	125.87742	10.28319	371572.93750	9.76913	132.98703	15.08543	147801.96875	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.6983	83750.698	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	361.89999	5.28572	125.87742	10.28319	371572.93750	9.76913	132.98703	15.08543	147801.96875	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.7049	83750.705	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	363.20001	5.28572	125.87742	10.28319	371572.93750	9.76913	132.98703	15.08543	147801.96875	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.7116	83750.712	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	363.20001	5.28572	125.87742	10.28319	371572.93750	9.76913	132.98703	15.08543	147801.96875	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.7183	83750.718	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	364.60001	5.28572	125.87742	10.28319	371572.93750	9.76913	132.98703	15.08543	147801.96875	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.7249	83750.725	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	366.20001	5.28572	125.87742	10.28319	371572.93750	9.76913	132.98703	15.08543	147801.96875	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.7316	83750.732	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	366.20001	5.28572	125.87742	10.28319	371572.93750	9.76913	132.98703	15.08543	147801.96875	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.7383	83750.738	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	367.79999	5.28572	125.87742	10.28319	371572.93750	9.76913	132.98703	15.08543	147801.96875	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.7449	83750.745	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	369.20001	5.28572	125.87742	10.28319	371572.93750	9.76913	132.98703	15.08543	147801.96875	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.7516	83750.752	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	369.20001	5.28572	125.87742	10.28319	371572.93750	9.76913	132.98703	15.08543	147801.96875	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.7583	83750.758	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	370.79999	5.28572	125.87742	10.28319	371572.93750	9.76913	132.98703	15.08543	147801.96875	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.7649	83750.765	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	372.50000	6.22095	143.06152	11.70288	371528.96875	9.76913	132.98233	15.10281	147799.48438	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.7716	83750.772	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	372.50000	6.22095	143.06152	11.70288	371528.96875	9.76913	132.98233	15.10281	147799.48438	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.7783	83750.778	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	374.29999	6.22095	143.06152	11.70288	371528.96875	9.76913	132.98233	15.10281	147799.48438	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.7849	83750.785	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	376.00000	6.22095	143.06152	11.70288	371528.96875	9.76913	132.98233	15.10281	147799.48438	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.7916	83750.792	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	376.00000	6.22095	143.06152	11.70288	371528.96875	9.76913	132.98233	15.10281	147799.48438	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.7983	83750.798	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	377.79999	6.22095	143.06152	11.70288	371528.96875	9.76913	132.98233	15.10281	147799.48438	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.8049	83750.805	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	379.89999	6.22095	143.06152	11.70288	371528.96875	9.76913	132.98233	15.10281	147799.48438	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.8116	83750.812	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	379.89999	6.22095	143.06152	11.70288	371528.96875	9.76913	132.98233	15.10281	147799.48438	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.8183	83750.818	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	381.89999	6.22095	143.06152	11.70288	371528.96875	9.76913	132.98233	15.10281	147799.48438	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.8249	83750.825	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	384.10001	6.22095	143.06152	11.70288	371528.96875	9.76913	132.98233	15.10281	147799.48438	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.8316	83750.832	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	384.10001	6.22095	143.06152	11.70288	371528.96875	9.76913	132.98233	15.10281	147799.48438	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.8383	83750.838	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	386.29999	6.22095	143.06152	11.70288	371528.96875	9.76913	132.98233	15.10281	147799.48438	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.8449	83750.845	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	388.50000	6.22095	143.06152	11.70288	371528.96875	9.76913	132.98233	15.10281	147799.48438	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.8516	83750.852	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	388.50000	6.22095	143.06152	11.70288	371528.96875	9.76913	132.98233	15.10281	147799.48438	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.8583	83750.858	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	390.70001	6.22095	143.06152	11.70288	371528.96875	9.76913	132.98233	15.10281	147799.48438	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.8649	83750.865	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	393.00000	7.15633	160.23868	13.01851	371579.71875	9.76913	132.98468	15.12493	147796.20313	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.8716	83750.872	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	393.00000	7.15633	160.23868	13.01851	371579.71875	9.76913	132.98468	15.12493	147796.20313	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.8783	83750.878	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	395.50000	7.15633	160.23868	13.01851	371579.71875	9.76913	132.98468	15.12493	147796.20313	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.8849	83750.885	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	398.00000	7.15633	160.23868	13.01851	371579.71875	9.76913	132.98468	15.12493	147796.20313	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.8916	83750.892	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	398.00000	7.15633	160.23868	13.01851	371579.71875	9.76913	132.98468	15.12493	147796.20313	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.8983	83750.898	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	400.70001	7.15633	160.23868	13.01851	371579.71875	9.76913	132.98468	15.12493	147796.20313	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.9049	83750.905	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	403.29999	7.15633	160.23868	13.01851	371579.71875	9.76913	132.98468	15.12493	147796.20313	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.9116	83750.912	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	403.29999	7.15633	160.23868	13.01851	371579.71875	9.76913	132.98468	15.12493	147796.20313	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.9183	83750.918	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	405.89999	7.15633	160.23868	13.01851	371579.71875	9.76913	132.98468	15.12493	147796.20313	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.9249	83750.925	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	408.50000	7.15633	160.23868	13.01851	371579.71875	9.76913	132.98468	15.12493	147796.20313	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.9316	83750.932	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	408.50000	7.15633	160.23868	13.01851	371579.71875	9.76913	132.98468	15.12493	147796.20313	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
23:15:50.9383	83750.938	0.00000	0.00000	0.00000	0.00000	0.00000	42273.26953	0.00000	0.00000	0.00000	0.00000	410.89999	7.15633	160.23868	13.01851	371579.71875	9.76913	132.98468	15.12493	147796.20313	152.12015	2.00000	10.00000	10.02100	353.32980	353.02374	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	2.09915	0.25000	2.00000
