Absolute Time	Seconds	R_CenterX	R_CenterY	R_Area	R_RadiusRotated1	R_RadiusRotated2	R_AreaDiff	R_RadiusX	R_RadiusY	R_RadiusSum	R_RadiusDiff	PyroTemp	Htr_Uctrl	Htr_U	Htr_I	Htr_FREQ	Pos_Uctrl	Pos_U	Pos_I	Pos_FREQ	Lin.Drive	Cycle	Step	PS_UHV	PS_1	PS_2	Exp#	Pos_On	Htr_On	H_HF_On	Rot Pos	AxMirror	RadMirror	GasValCFG	PumpSpeed	Emmis.	HCE_Cycle
hh:mm:ss.xxxx		[Pixel]	[Pixel]						[Pixel]	[Pixel]	[Pixel]	degC	V	V	A	Hz	V	V	A	Hz	mm				mbar	mbar											
23:43:31.0039	85411.004	301.09061	266.59610	127620.00781	191.41722	209.25143	16788.81641	183.42972	220.50555	403.93527	-37.07584	1655.59998	0.00092	20.35416	1.27515	372302.68750	8.32502	111.40217	11.93743	147874.56250	152.13234	3.00000	16.00000	10.02100	355.07016	354.78940	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	0.11735	0.25000	3.00000
23:43:31.0064	85411.006	300.34018	267.03171	128327.95313	203.74350	201.80397	8933.57031	192.48473	211.93701	404.42175	-19.45229	1658.09998	0.00092	20.35416	1.27515	372302.68750	8.32502	111.40217	11.93743	147874.56250	152.13234	3.00000	16.00000	10.02100	355.07016	354.78940	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	0.11735	0.25000	3.00000
23:43:31.0089	85411.009	301.73193	265.31552	128089.87500	210.20634	193.11505	8785.06738	203.74893	201.33864	405.08759	2.41029	1658.09998	0.00092	20.35416	1.27515	372302.68750	8.32502	111.40217	11.93743	147874.56250	152.13234	3.00000	16.00000	10.02100	355.07016	354.78940	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	0.11735	0.25000	3.00000
23:43:31.0114	85411.011	302.47559	264.17697	123959.27344	214.05650	179.95821	18913.10938	212.52852	185.20691	397.73541	27.32161	1658.09998	0.00092	20.35416	1.27515	372302.68750	8.32502	111.40217	11.93743	147874.56250	152.13234	3.00000	16.00000	10.02100	355.07016	354.78940	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	0.11735	0.25000	3.00000
23:43:31.0139	85411.014	304.76132	263.36801	121570.19531	213.64603	172.48576	26459.49414	220.93498	172.71721	393.65219	48.21777	1658.09998	0.00092	20.35416	1.27515	372302.68750	8.32502	111.40217	11.93743	147874.56250	152.13234	3.00000	16.00000	10.02100	355.07016	354.78940	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	0.11735	0.25000	3.00000
23:43:31.0164	85411.016	303.80661	265.23004	123700.05469	213.21069	179.33684	27362.99219	226.91019	168.39223	395.30243	58.51796	1651.80005	0.00092	20.35416	1.27515	372302.68750	8.32502	111.40217	11.93743	147874.56250	152.13234	3.00000	16.00000	10.02100	355.07016	354.78940	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	0.11735	0.25000	3.00000
23:43:31.0189	85411.019	302.19485	268.05939	130883.48438	211.86594	196.76830	22921.19922	231.10094	175.60941	406.71033	55.49153	1651.80005	0.00092	20.35416	1.27515	372302.68750	8.32502	111.40217	11.93743	147874.56250	152.13234	3.00000	16.00000	10.02100	355.07016	354.78940	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	0.11735	0.25000	3.00000
23:43:31.0214	85411.021	301.67532	269.22913	141171.59375	209.93947	216.69063	17260.51758	231.13968	192.43436	423.57404	38.70532	1651.80005	0.00092	20.35416	1.27515	372302.68750	8.32502	111.40217	11.93743	147874.56250	152.13234	3.00000	16.00000	10.02100	355.07016	354.78940	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	0.11735	0.25000	3.00000
23:43:31.0239	85411.024	302.13287	267.38596	151658.42188	208.12233	233.66060	20917.90625	226.68047	212.91525	439.59570	13.76521	1651.80005	0.00092	20.35416	1.27515	372302.68750	8.32502	111.40217	11.93743	147874.56250	152.13234	3.00000	16.00000	10.02100	355.07016	354.78940	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	0.11735	0.25000	3.00000
23:43:31.0264	85411.026	301.61359	265.96100	156026.28125	207.93907	240.27475	25285.76563	215.93579	228.03352	443.96930	-12.09773	1653.00000	0.00092	20.35416	1.27515	372302.68750	8.32502	111.40217	11.93743	147874.56250	152.13234	3.00000	16.00000	10.02100	355.07016	354.78940	1.00000	1.00000	1.00000	1.00000	14.00000	22.00000	4.00000	0.00000	0.11735	0.25000	3.00000
